feature_index,parcel_id,current_address,dcad_situs_address,centroid_lat,centroid_lng,category,reason,status,action
0,218319,847 MULLRANY DR,,32.990454,-96.99899,OK,,OK,NONE
1,273058,851 MACARTHUR BLVD,,32.99099,-96.974615,OUTLIER,num=851 street_median=253 ratio=3.36 street=MACARTHUR BLVD,NOT_FOUND,NONE
2,218291,902 KILBRIDGE LN,,32.99312,-96.998189,OK,,OK,NONE
3,1057259,2520 SH 121,,32.991094,-97.002623,OK,,OK,NONE
4,172251,450 W VISTA RIDGE MALL DR,,32.992305,-97.001433,OK,,OK,NONE
5,218322,859 MULLRANY DR,,32.990679,-96.999578,OK,,OK,NONE
6,RESEARCH,600 N DENTON TAP RD,,32.984115,-97.002259,OK,,OK,NONE
7,218295,918 KILBRIDGE LN,,32.993126,-96.998841,OK,,OK,NONE
8,204929,158 TURNBERRY LN,,32.990514,-96.996,OK,,OK,NONE
9,269684,370 SH 121 (BYPASS),,32.98941,-96.997344,OK,,OK,NONE
10,218369,848 MULLRANY DR,,32.990939,-96.99892,OK,,OK,NONE
11,204915,153 TURNBERRY LN,,32.990088,-96.995685,OK,,OK,NONE
12,309256,621 SH 121 (BYPASS),,32.99049,-96.976259,NON_RESIDENTIAL,isolated: 2 residential neighbors within 200m,NON_RES_BLANK,BLANK
13,218367,840 MULLRANY DR,,32.990776,-96.998557,OK,,OK,NONE
14,218333,842 DALMALLEY LN,,32.991553,-96.998006,OK,,OK,NONE
15,273054,609 SH 121 (BYPASS),,32.989578,-96.978284,OK,,OK,NONE
16,218307,209 FALLKIRK DR,,32.990194,-96.996846,OK,,OK,NONE
17,218365,832 MULLRANY DR,,32.990625,-96.99816,OK,,OK,NONE
18,218313,823 MULLRANY DR,,32.98999,-96.997813,OK,,OK,NONE
19,218321,855 MULLRANY DR,,32.990572,-96.999394,OK,,OK,NONE
20,204927,166 TURNBERRY LN,,32.99027,-96.996148,OK,,OK,NONE
21,218370,852 MULLRANY DR,,32.991008,-96.999119,OK,,OK,NONE
22,218314,827 MULLRANY DR,,32.990069,-96.998007,OK,,OK,NONE
23,218318,843 MULLRANY DR,,32.990353,-96.998826,OK,,OK,NONE
24,218315,831 MULLRANY DR,,32.990147,-96.998202,OK,,OK,NONE
25,204851,834 APPLECROSS CT,,32.992456,-96.994656,OK,,OK,NONE
26,218320,851 MULLRANY DR,,32.99053,-96.999186,OK,,OK,NONE
27,218306,205 FALLKIRK DR,,32.990349,-96.996733,OK,,OK,NONE
28,204917,201 TURNBERRY LN,,32.989857,-96.995862,OK,,OK,NONE
29,218385,825 DALMALLEY LN,,32.990808,-96.997512,OK,,OK,NONE
30,218368,844 MULLRANY DR,,32.990869,-96.998721,OK,,OK,NONE
31,204880,126 TURNBERRY LN,,32.991065,-96.994501,OK,,OK,NONE
32,204896,760 KILBRIDGE LN,,32.99045,-96.994657,OK,,OK,NONE
33,218301,142 LAIRDS DR,,32.99261,-96.999483,OK,,OK,NONE
34,218378,853 DALMALLEY LN,,32.991409,-96.998923,OK,,OK,NONE
35,218351,149 KILBRIDGE CT,,32.992163,-96.998033,OK,,OK,NONE
36,218375,207 LAIRDS DR,,32.991507,-96.999645,OK,,OK,NONE
37,204868,840 KILBRIDGE LN,,32.992752,-96.996313,OK,,OK,NONE
38,204895,764 KILBRIDGE LN,,32.990614,-96.994717,OK,,OK,NONE
39,204952,157 KILMICHAEL DR,,32.991356,-96.997245,OK,,OK,NONE
40,204955,145 KILMICHAEL DR,,32.991701,-96.996633,OK,,OK,NONE
41,218285,860 KILBRIDGE LN,,32.993066,-96.997207,OK,,OK,NONE
42,204921,217 TURNBERRY LN,,32.989463,-96.996432,OK,,OK,NONE
43,204893,121 TURNBERRY LN,,32.990511,-96.994351,OK,,OK,NONE
44,218324,867 MULLRANY DR,,32.990801,-97.000005,OK,,OK,NONE
45,204889,105 TURNBERRY LN,,32.990589,-96.993655,OK,,OK,NONE
46,218363,824 MULLRANY DR,,32.990484,-96.997737,OK,,OK,NONE
47,218290,880 KILBRIDGE LN,,32.99315,-96.998042,OK,,OK,NONE
48,204916,157 TURNBERRY LN,,32.989972,-96.995773,OK,,OK,NONE
49,218387,817 DALMALLEY LN,,32.9906,-96.997104,OK,,OK,NONE
50,218362,820 MULLRANY DR,,32.990403,-96.997544,OK,,OK,NONE
51,218294,914 KILBRIDGE LN,,32.993124,-96.998678,OK,,OK,NONE
52,1057257,500 W VISTA RIDGE MALL DR,,32.99197,-97.003443,OK,,OK,NONE
53,218292,906 KILBRIDGE LN,,32.993121,-96.998352,OK,,OK,NONE
54,218364,828 MULLRANY DR,,32.990564,-96.99793,OK,,OK,NONE
55,204926,202 TURNBERRY LN,,32.990159,-96.996245,OK,,OK,NONE
56,218323,863 MULLRANY DR,,32.990752,-96.999773,OK,,OK,NONE
57,204887,101 TURNBERRY LN,,32.990776,-96.993657,OK,,OK,NONE
58,218293,910 KILBRIDGE LN,,32.993123,-96.998515,OK,,OK,NONE
59,218371,856 MULLRANY DR,,32.991078,-96.999317,OK,,OK,NONE
60,218386,821 DALMALLEY LN,,32.99071,-96.997331,OK,,OK,NONE
61,218305,201 FALLKIRK DR,,32.990501,-96.996616,OK,,OK,NONE
62,204840,836 FALLKIRK CT,,32.992648,-96.993617,OK,,OK,NONE
63,218297,926 KILBRIDGE LN,,32.993136,-96.999262,OK,,OK,NONE
64,204882,114 TURNBERRY LN,,32.991479,-96.994215,OK,,OK,NONE
65,204907,743 KILBRIDGE LN,,32.989697,-96.995405,OK,,OK,NONE
66,204914,149 TURNBERRY LN,,32.990214,-96.995633,OK,,OK,NONE
67,218326,222 LAIRDS DR,,32.991095,-97.00037,OK,,OK,NONE
68,218334,846 DALMALLEY LN,,32.991578,-96.998261,OK,,OK,NONE
69,218350,153 KILBRIDGE CT,,32.992025,-96.998085,OK,,OK,NONE
70,204879,130 TURNBERRY LN,,32.991011,-96.994677,OK,,OK,NONE
